x,y,z
114.44,-16.88, 6.70
 98.33,-61.14, 6.29
 93.75,-65.93, 4.61
106.19,-47.98, 5.51
117.03,-03.92, 5.96
321.61,-66.38, 5.70
118.06,  1.75, 5.59
111.26,-32.83, 6.13
 52.21,-79.14, 6.18
 74.36,-75.90, 6.19
 98.02,-63.29, 6.43
 55.56,-79.07, 5.94
355.91,-78.67, 5.68
 98.34,-63.24, 6.07
111.73,-32.84, 2.06
 91.79,-69.04, 5.99
113.45,-25.45, 6.19
 74.69,-76.25, 6.06
110.97,-36.42, 6.23
120.98, 17.00, 6.01
117.52,-03.27, 2.27
108.99,-43.51, 5.53
316.25,-62.02, 6.33
 25.24,-80.63, 5.42
324.34,-69.60, 3.88
106.87,-50.43, 5.51
115.52,-16.21, 5.03
117.38,-05.26, 6.74
 96.99,-66.03, 5.84
304.63,-34.77, 5.28
 87.69,-72.60, 5.85
306.98,-43.58, 6.64
 82.24,-75.06, 4.89
 26.30,-81.13, 5.41
347.16,-78.34, 5.25
116.16,-14.20, 6.16
 76.32,-77.10, 5.25
114.55,-24.55, 6.73
109.43,-46.68, 2.83
112.56,-35.12, 6.30
115.27,-21.27, 5.72
 38.28,-81.49, 5.94
 36.52,-81.54, 6.31
113.99,-29.02, 6.25
111.30,-41.83, 4.80
 96.87,-68.76, 5.12
303.91,-32.06, 5.77
 75.11,-78.23, 4.44
111.92,-39.81, 6.24
107.86,-52.98, 5.79
 95.06,-70.44, 5.75
113.93,-30.70, 6.45
113.10,-34.90, 6.35
345.80,-78.99, 6.17
120.89, 14.22, 6.35
116.23,-18.82, 6.15
  1.53,-81.18, 5.67
305.79,-41.02, 6.49
108.28,-53.64, 6.11
118.83,-01.06, 5.74
 72.13,-79.47, 6.47
117.01,-14.53, 5.89
115.62,-23.70, 4.61
305.07,-38.20, 6.77
117.59,-11.09, 6.14
 77.21,-78.78, 6.45
105.89,-60.07, 6.17
115.59,-25.61, 4.52
110.00,-50.83, 6.05
116.70,-18.68, 6.11
114.79,-30.84, 5.87
 99.29,-69.40, 6.46
323.20,-72.58, 6.33
 98.98,-70.19, 3.56
116.46,-21.74, 6.33
117.63,-13.68, 6.52
308.35,-51.90, 4.23
115.13,-31.47, 5.90
115.53,-29.52, 5.79
109.91,-53.90, 5.37
110.93,-51.18, 6.56
116.37,-24.52, 5.18
306.87,-47.27, 5.51
 15.52,-83.15, 5.18
 77.51,-80.20, 5.12
112.19,-48.78, 6.23
305.04,-39.58, 5.97
 97.34,-73.64, 6.39
358.89,-82.70, 6.55
117.07,-23.98, 7.39
118.68,-10.63, 5.57
119.79,-00.88, 5.40
107.27,-64.27, 6.07
118.92,-09.62, 5.74
109.73,-60.26, 5.77
304.81,-39.77, 2.80
320.02,-73.98, 2.39
318.42,-72.68, 3.94
109.50,-62.27, 6.19
 47.84,-84.35, 5.98
115.10,-44.62, 5.06
118.57,-18.28, 5.17
342.36,-82.23, 4.81
114.89,-46.06, 6.06
113.62,-52.26, 6.04
 83.87,-81.40, 6.43
321.94,-76.35, 5.43
117.94,-25.75, 6.26
311.91,-66.20, 6.26
121.74, 14.20, 6.21
120.29,-02.79, 5.94
117.42,-32.89, 5.23
 99.58,-76.75, 6.14
344.92,-83.15, 6.57
109.57,-66.27, 5.72
 66.87,-84.19, 5.19
318.97,-75.53, 6.19
312.52,-68.52, 5.69
120.94,  3.73, 6.18
118.16,-29.10, 5.87
120.05,-08.24, 4.73
119.91,-09.92, 5.60
311.75,-67.98, 4.77
306.78,-54.02, 4.37
306.78,-54.01, 4.54
119.29,-19.24, 6.70
121.44,  8.16, 6.42
120.84,  0.14, 4.16
116.94,-42.36, 5.38
114.55,-55.61, 5.67
117.82,-35.10, 6.67
117.96,-34.41, 6.30
120.28,-07.88, 5.93
306.54,-53.97, 5.09
121.25,  3.93, 6.48
  0.01,-85.40, 5.55
305.01,-45.79, 6.13
308.97,-64.55, 5.57
116.77,-49.30, 6.40
112.89,-66.15, 5.20
114.12,-63.10, 5.93
120.67,-08.64, 5.08
117.11,-49.49, 6.41
121.08,-02.49, 5.79
310.27,-68.90, 5.51
307.83,-62.16, 6.06
118.81,-35.50, 6.50
105.75,-77.33, 6.45
 83.10,-84.48, 6.06
120.18,-18.31, 5.13
120.78,-08.91, 3.66
119.47,-29.05, 4.36
117.70,-47.49, 5.89
118.74,-38.74, 6.47
119.70,-27.38, 5.48
122.53, 19.63, 6.40
 68.68,-86.03, 5.57
305.46,-51.93, 6.42
116.06,-59.55, 6.39
307.41,-62.61, 6.41
119.57,-33.47, 4.37
120.88,-13.47, 5.43
119.87,-31.94, 3.27
119.18,-41.53, 5.87
119.36,-41.35, 5.36
121.42,-06.30, 2.23
304.22,-43.96, 6.85
322.13,-82.73, 6.69
309.65,-72.18, 6.01
108.92,-79.09, 6.49
 85.79,-85.86, 6.14
116.05,-67.08, 5.91
120.76,-23.37, 5.33
305.56,-57.61, 5.89
121.98,  3.29, 5.83
120.09,-38.19, 6.04
121.41,-12.33, 4.80
308.31,-70.94, 4.59
121.77,-04.10, 6.17
305.65,-60.57, 5.70
121.52,-15.82, 4.94
311.54,-78.52, 6.06
304.92,-56.83, 5.98
304.43,-51.63, 5.39
111.31,-80.68, 2.04
121.72,-14.99, 5.67
115.84,-74.78, 6.02
305.08,-59.63, 4.36
122.55, 12.12, 5.66
121.78,-14.57, 4.54
116.69,-73.39, 4.76
310.14,-78.60, 5.90
122.05,-07.64, 5.42
106.02,-84.66, 5.24
307.36,-74.40, 5.94
304.31,-54.61, 6.07
122.50,  6.46, 6.33
119.00,-67.46, 6.15
305.07,-63.39, 6.15
117.05,-75.68, 6.15
122.19,-07.56, 6.52
121.95,-18.00, 6.05
115.55,-79.21, 6.47
122.33,-03.29, 6.39
122.69, 11.98, 5.41
305.68,-69.54, 5.80
108.14,-85.24, 5.50
121.19,-47.38, 5.38
122.68,  9.80, 5.87
121.22,-50.88, 5.50
121.57,-43.28, 6.13
121.74,-38.59, 4.06
121.13,-56.12, 5.99
121.82,-41.94, 6.54
117.34,-80.89, 5.70
122.60,-05.05, 3.44
114.55,-84.54, 5.57
121.55,-55.56, 5.93
121.49,-57.57, 5.75
122.51,-11.90, 4.89
121.73,-55.28, 4.43
122.09,-45.92, 5.07
122.60,-21.79, 4.53
120.84,-76.42, 5.59
113.36,-86.97, 5.90
304.21,-70.42, 6.27
122.51,-35.16, 7.0 
122.51,-35.16, 7.1 
116.39,-86.21, 6.28
122.85,  1.38, 5.39
122.72,-17.87, 6.15
121.81,-73.51, 5.19
303.18,-42.20, 5.07
122.91,-01.07, 6.07
122.85,-11.36, 6.39
303.82,-73.73, 6.48
123.03, 20.84, 5.62
122.95,-11.30, 6.21
303.23,-66.14, 5.22
122.87,-59.49, 6.37
123.13,-01.75, 4.82
302.66,-73.42, 6.90
123.24,-24.32, 6.69
128.10,-86.87, 5.46
123.83,-64.01, 4.77
123.38,-25.45, 6.06
123.29,-10.18, 6.27
132.59,-87.62, 6.46
302.81,-47.62, 6.22
123.39,-03.90, 4.83
123.96,-43.68, 5.74
125.17,-71.60, 6.16
123.55,-14.19, 6.27
302.51,-54.25, 5.70
123.97,-39.24, 5.47
124.03,-38.31, 6.20
123.57,-04.87, 6.21
123.43,  5.91, 6.37
124.17,-35.65, 6.09
126.06,-70.19, 5.85
123.58,-02.15, 2.47
123.60,-03.68, 4.63
123.59,-02.50, 5.55
127.04,-74.10, 5.31
246.23,-88.81, 6.10
124.07,-24.36, 3.87
302.47,-47.60, 5.45
124.65,-39.43, 4.42
124.07,-17.02, 6.12
123.64,  3.49, 5.97
124.62,-33.86, 5.42
124.54,-28.90, 5.98
125.34,-49.15, 6.32
125.07,-41.44, 6.37
123.68,  8.12, 6.39
129.49,-74.16, 5.61
268.05,-87.27, 4.31
301.40,-56.41, 6.23
124.54,-18.13, 6.84
124.54,-18.13, 6.04
126.69,-56.33, 6.11
123.24, 23.40, 4.25
123.13, 26.16, 6.46
124.68,-11.80, 6.47
293.64,-78.03, 5.59
124.97,-15.45, 6.45
125.24,-21.47, 5.98
125.75,-31.00, 5.50
124.40,-01.76, 5.92
275.15,-84.97, 5.50
127.89,-54.87, 4.28
300.04,-60.07, 6.11
130.52,-67.54, 5.43
124.47,-01.25, 5.84
124.88,-10.32, 5.99
297.02,-70.60, 5.36
256.19,-86.46, 6.29
129.39,-61.35, 6.04
125.08,-11.81, 6.54
126.31,-33.13, 6.19
301.05,-51.63, 6.21
125.67,-22.81, 6.72
123.27, 24.29, 6.25
129.09,-57.05, 6.00
127.84,-47.80, 5.68
124.64,-00.06, 6.54
127.34,-41.28, 5.34
127.35,-41.28, 5.56
123.74, 17.17, 6.29
129.66,-57.77, 6.35
129.68,-57.77, 7.25
134.63,-72.53, 6.12
125.06,-05.87, 6.43
134.92,-72.37, 5.58
125.30,-09.30, 6.38
128.64,-49.75, 6.12
170.31,-85.44, 6.14
125.32,-07.85, 5.17
295.51,-70.20, 3.31
283.32,-80.89, 6.61
126.08,-18.83, 5.03
172.43,-85.26, 6.37
125.19,-04.53, 5.79
127.02,-30.73, 6.25
128.13,-41.96, 5.55
